family,alpha,file,overlap,p,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,s_y,dense,n,mcse_rel
dimsnr,0.5,dimsnr_05_r200.rds,moderate,1000,1,200,0.13970460053969475,0.0287304230542814,0.30354616132092105,0.49793542458471973,0.6403944046529471,1.1484735441738314,3.059362863587632,2.1702989086996314,2.985129564669647,1.0648371553865252,boot.inf,0.32322723094946887,-0.35086516244743626,-56.61325680953599,-56.61325680953599,-45.49022905168863,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_05_r200.rds,moderate,1000,3,200,0.14635674026257173,0.0287304230542814,0.3437883065879289,0.5164440573946945,0.5022153095326594,1.0979175085158377,2.714812650195742,1.9451637197637968,2.649794579383439,1.0534891697990283,boot.inf,0.36217725769393105,-0.29870960366741983,-26.4577654194217,-26.4577654194217,-21.072595481262375,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_05_r200.rds,moderate,1000,10,200,0.2026874549512685,0.0287304230542814,0.6282121899322015,0.7132447235289825,0.13535638906649994,0.999250740745122,1.6106561134863486,1.258884311205947,1.5784309902269258,1.0436635025793801,cv.bloss,0.6277414961348676,-0.119879228788491,-4.663928533129766,-3.982730405942914,-4.663928533129766,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_06_r200.rds,bad,1000,1,200,0.17819449304819698,0.033390394573148505,0.4503100066804621,0.6597569782847943,0.4651172936357926,1.0555445001038537,2.3764476106483836,1.7267445728499198,2.3415408780480576,1.0149859306199982,boot.inf,0.45705832119806644,-0.3072323048612452,-78.90330538274952,-78.90330538274952,-63.396782578307445,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_06_r200.rds,bad,1000,3,200,0.17819449304819698,0.033390394573148505,0.48308682940611475,0.675538416461289,0.39837887381812,1.0489586012608758,2.2311319139823076,1.6350983806106227,2.198629480855317,1.0109529384001603,boot.inf,0.48837804969052867,-0.27705362450173154,-28.60657601646703,-28.60657601646703,-21.879682255877277,NA,NA,NA,0.05
dimsnr,0.5,dimsnr_06_r200.rds,bad,1000,10,200,0.1549844826006508,0.033390394573148505,0.7473541538544192,0.8424105179022953,0.12719052079610527,1.0203643422482034,1.5518024336184637,1.2203344691830722,1.5322033938586608,1.005745316599847,boot.inf,0.7516479400805235,-0.10774150594389731,-4.098817726120025,-4.098817726120025,-2.9345236435896656,NA,NA,NA,0.05
dimsnr,1,dimsnr_07_r200.rds,moderate,1000,1,200,0.0981969801243287,0.0981969801243287,0.23381314425797387,0.23381314425797387,0,1.3274066726162497,4.0032950532632485,2.905143227031986,3.9190317195390265,1.5196267464507798,cv.bloss,0.3103651278334203,0.32740667261624967,27.60528564691781,21.901332882124255,27.60528564691781,NA,NA,NA,0.05
dimsnr,1,dimsnr_07_r200.rds,moderate,1000,3,200,0.0981969801243287,0.0981969801243287,0.2864910099148053,0.2864910099148053,0,1.2184496192790841,3.3115458158638162,2.428549518867047,3.243826634024297,1.3498916888353747,cv.bloss,0.3490748619575748,0.21844961927908413,15.806759745466138,16.02908074537649,15.806759745466138,NA,NA,NA,0.05
dimsnr,1,dimsnr_07_r200.rds,moderate,1000,10,200,0.10287270325462038,0.0981969801243287,0.6194981616424043,0.619549944632824,8.358861030743903e-5,1.0194756612577103,1.698190655329155,1.3479255124459149,1.670360950674242,1.026585113886438,cv.bloss,0.6315632979883261,0.01939045182648158,1.207255917696465,1.50158076601137,1.207255917696465,NA,NA,NA,0.05
dimsnr,1,dimsnr_08_r200.rds,bad,1000,1,200,0.15353887423590565,0.15353887423590565,0.35010665451325085,0.35010665451325085,0,1.1644877568054814,3.039369382646048,2.2255291022297854,3.0032638035131574,1.424551442911711,cv.bloss,0.4076949127568072,0.16448775680548144,14.814459206139135,36.52139564795578,14.814459206139135,NA,NA,NA,0.05
dimsnr,1,dimsnr_08_r200.rds,bad,1000,3,200,0.15353887423590565,0.15353887423590565,0.40278953140768947,0.40278953140768947,0,1.107894727158244,2.6534544782467497,1.9568469303930989,2.622507892160122,1.2944572601248887,cv.bloss,0.4462483980011191,0.107894727158244,8.536793206045079,18.821495783479868,8.536793206045079,NA,NA,NA,0.05
dimsnr,1,dimsnr_08_r200.rds,bad,1000,10,200,0.22275861735932068,0.15353887423590565,0.7763580800699272,0.8071227077749473,0.039626853245668725,1.01655969582398,1.4767565162418927,1.165969851347042,1.4616790972693647,0.9865466975728493,boot.inf,0.7659135000269844,-0.05105693019289126,-1.9561658336483592,-1.9561658336483592,-1.173990903004214,NA,NA,NA,0.05
tune,1,tune01_r500.rds,good,NA,1,500,0.0057744671095377766,0.0030108119367911563,0.07434128336114755,0.0746753545058176,0.0044937500345150205,2.2316275206764526,5.522882985826646,4.6244222702850735,1.0709810097312105,1.083639945822609,boot.smd,0.07961810271883583,0.06618981919440592,3.5534976661222655,3.9272867865591943,23.87247240695954,5,NA,NA,0.03162277660168379
tunea,0,tunea_01_r5.rds,good,NA,1,5,0.0657766616528282,0.0657766616528282,0.11403187859702732,0.11403187859702732,0,2.4228602567820414,4.281576424599152,3.6859053939088917,1.3797860753898101,1.2326641012832389,boot.inf,0.14056300314844408,0.2326641012832389,1.9952167230319275,1.9952167230319275,5.083304016179829,NA,FALSE,NA,0.31622776601683794
tunea,0,tunea_01_r50.rds,good,NA,1,50,0.0657766616528282,0.0657766616528282,0.08884607229590066,0.08884607229590066,0,2.9900828352945696,4.9523931930178495,4.356257052448517,1.4104974056552524,1.2371444800128104,boot.inf,0.10991542791169259,0.2371444800128104,5.252602548205316,5.252602548205316,16.101192252934467,NA,FALSE,NA,0.1
tunea,0,tunea_02_r5.rds,moderate,NA,1,5,0.09179016494415203,0.09179016494415203,0.29849796728340644,0.29849796728340644,0,1.6638832765758633,2.8605343345846426,2.324260134058246,1.654659974428531,1.0101644296062366,boot.inf,0.30153202885946334,0.010164429606236647,1.998568761300838,1.998568761300838,10.077939054802128,NA,FALSE,NA,0.31622776601683794
tunea,0,tunea_02_r50.rds,moderate,NA,1,50,0.09179016494415203,0.09179016494415203,0.23889501745971514,0.23889501745971514,0,1.8514185554324982,3.2045308512534407,2.5844258245455163,1.7939494403455827,1.0288969305044267,boot.inf,0.2457983501771023,0.028896930504426654,5.849559114178785,5.849559114178785,29.193493206225693,NA,FALSE,NA,0.1
tunea,0,tunea_03_r5.rds,bad,NA,1,5,0.1176838467481047,0.1176838467481047,0.38645107866338213,0.38645107866338213,0,1.371601877777191,2.305216157079164,1.8576575753788958,1.6087250589427584,0.9793175216865876,boot.inf,0.3784583126097319,-0.02068247831341241,-5.1728753613308225,-5.1728753613308225,7.844524274734443,NA,FALSE,NA,0.31622776601683794
tunea,0,tunea_03_r50.rds,bad,NA,1,50,0.1176838467481047,0.1176838467481047,0.4116929495851783,0.4116929495851783,0,1.3422124956076071,2.228199579860996,1.7691092984795698,1.564725365267289,0.9847007007702466,boot.inf,0.4053943359586949,-0.015299299229753371,-9.922998802062857,-9.922998802062857,24.597142053343322,NA,FALSE,NA,0.1
tunea,0,tunea_04_r5.rds,good,NA,1,5,0.09822389545346952,0.058883678329329205,0.07598044794752329,0.07994454767324158,0.052172629048675034,2.794820739994015,5.079241524885228,4.839923332734804,1.1626798682089314,1.0110733519841606,boot.inf,0.0768218061915604,-0.039061344051189106,-0.1704334889045264,-0.1704334889045264,2.26066670408784,NA,TRUE,NA,0.31622776601683794
tunea,0,tunea_04_r50.rds,good,NA,1,50,0.058883678329329205,0.058883678329329205,0.11127101612149398,0.11127101612149398,0,2.5322571294733924,4.196055392311199,3.7001151388472873,1.324453737862668,1.186270545428181,boot.inf,0.13199752898479258,0.186270545428181,5.497315237253372,5.497315237253372,13.126999701869424,NA,TRUE,NA,0.1
