family,cell,overlap,alpha,p,reps,lam,rmse,cv.bloss,cv.smd,cv.inf,boot.smd,boot.inf,sigma_y,n,s
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.21781033937156613,0.3607829308498886,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.2079105232921188,0.34993934391665804,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.19846066913224628,0.3400708618682736,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.18944032542826056,0.3312794251721143,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.18082997026706174,0.32363730440304744,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.17261096903662912,0.31718691064744564,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.1647655340968179,0.3119405188901617,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.15727668628318034,0.3079377850717365,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.15012821816049723,0.30523797618875304,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.14330465894649377,0.30397123198770504,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.13679124102982615,0.3041902478472851,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.13057386800987744,0.30589070866666557,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.12463908418919456,0.30901653792911515,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.11897404545254003,0.31337545066193356,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.113566491469537,0.3188537539375432,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.1084047191607459,0.3252247072320531,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.10347755736974952,0.3322073781388816,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.09877434268643082,0.33963277177072493,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.09428489636911963,0.3475006104727278,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.0899995023156641,0.3556145811650603,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.08590888603575035,0.36376417914347403,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.08200419457896285,0.37181337822806526,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.07827697737514575,0.3798101897792074,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.07471916794559869,0.3876656110654482,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.07132306644552758,0.39534702362762075,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.06808132299996782,0.4028547324502175,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.06498692179711511,0.41019010778944326,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
