family,design,alpha,file,sigma_y,n_ok,lam_min,lam_floor,rmse_min,rmse_floor,gain_floor,cv.bloss_vs_min,cv.smd_vs_min,cv.inf_vs_min,boot.smd_vs_min,boot.inf_vs_min,lam_bloss,lam_bootinf,RMSE_cv,RMSE_boot,CV_excess_pct,Boot_excess_pct,best,rmse_best,best_vs_floor,z_best,z_bootinf,z_cvbloss,overlap,p,n,c_prop,s,s_y,dense,r2,mcse_rel
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_04_r200.rds,1,200,0.14678561385442374,0.14678561385442374,0.34060849282960365,0.34060849282960365,0,1.1667850520002794,3.098691722014975,2.192217906484886,3.0098704666200002,1.4307261623077836,0.1730701991490933,0.21524171277197374,0.3974168980179259,0.4873174817955371,16.67850520002794,43.07261623077836,cv.bloss,0.3974168980179259,0.16678505200027938,15.10480675683723,41.250564718873655,15.10480675683723,bad,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_06_r200.rds,1,200,0.17819449304819698,0.033390394573148505,0.45031000668046217,0.6597569782847945,0.4651172936357928,1.0555445001038537,2.376447610648383,1.72674457284992,2.341540878048057,1.0149859306199982,0.23266171498957583,0.15398137976974022,0.4753222508932915,0.45705832119806655,5.55445001038537,1.49859306199982,boot.inf,0.45705832119806655,-0.3072323048612453,-78.90330538274952,-78.90330538274952,-63.39678257830746,bad,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_08_r200.rds,1,200,0.15353887423590565,0.15353887423590565,0.3501066545132509,0.3501066545132509,0,1.1644877568054814,3.0393693826460475,2.225529102229785,3.0032638035131565,1.4245514429117103,0.18058963595287236,0.222388927596967,0.4076949127568072,0.49874493985984325,16.448775680548145,42.45514429117103,cv.bloss,0.4076949127568072,0.16448775680548144,14.814459206139137,36.521395647955785,14.814459206139137,bad,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_02_r200.rds,3,200,0.15265878743018416,0.01882048883304821,0.42811274730989474,0.5741777153284787,0.3411834123987274,1.0705752643593274,2.4484109230961906,1.7386100771171615,2.365488461440012,1.0103700641452227,0.21846288413389686,0.12864126680755222,0.4583269176268885,0.4325523039608859,7.057526435932737,1.037006414522268,boot.inf,0.4325523039608859,-0.24665779877327876,-21.016520357715336,-21.016520357715336,-14.015621593389097,bad,500,NA,NA,NA,NA,NA,0.19857524487978628,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_04_r200.rds,3,200,0.14678561385442374,0.14678561385442374,0.40966444296205645,0.40966444296205645,0,1.1003005306563844,2.5839574440067534,1.8470531132430585,2.5112746793676037,1.2698521273048335,0.1730701991490933,0.21524171277197374,0.4507540039822029,0.520213264376517,10.030053065638445,26.985212730483354,cv.bloss,0.4507540039822029,0.10030053065638445,9.696881988367965,20.19413167515645,9.696881988367965,bad,500,NA,NA,NA,NA,NA,0.19857524487978628,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_06_r200.rds,3,200,0.17819449304819698,0.033390394573148505,0.48308682940611475,0.675538416461289,0.39837887381812,1.0489586012608758,2.231131913982307,1.6350983806106232,2.1986294808553173,1.0109529384001603,0.23266171498957583,0.15398137976974022,0.5067380848613895,0.48837804969052867,4.895860126087581,1.0952938400160317,boot.inf,0.48837804969052867,-0.27705362450173154,-28.606576016467024,-28.606576016467024,-21.87968225587728,bad,1000,NA,NA,NA,NA,NA,0.19857524487978628,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_08_r200.rds,3,200,0.15353887423590565,0.15353887423590565,0.4027895314076894,0.4027895314076894,0,1.1078947271582442,2.653454478246751,1.9568469303930995,2.622507892160123,1.2944572601248887,0.18058963595287236,0.222388927596967,0.44624839800111915,0.5213938332329855,10.789472715824422,29.44572601248887,cv.bloss,0.44624839800111915,0.10789472715824422,8.536793206045083,18.821495783479868,8.536793206045083,bad,1000,NA,NA,NA,NA,NA,0.19857524487978628,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_02_r200.rds,10,200,0.17552050875679015,0.01882048883304821,0.6706205807900135,0.7344317923157403,0.0951524801856738,1.0090198718982932,1.6505842707980443,1.2323690374685872,1.60104609652979,0.9968336505818692,0.21846288413389686,0.12864126680755222,0.6766694925210984,0.6684971617042426,0.901987189829323,-0.3166349418130765,boot.inf,0.6684971617042426,-0.08977638400374655,-3.311067698806236,-3.311067698806236,-2.3363760999972305,bad,500,NA,NA,NA,NA,NA,0.021813557664090776,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_04_r200.rds,10,200,0.2337242072504087,0.14678561385442374,0.8080168747027106,0.8724520550528153,0.07974484490043854,1.050958465335972,1.4041524919535682,1.1063196209690955,1.3722152216404129,1.0030747115572685,0.1730701991490933,0.21524171277197374,0.8491921746031291,0.810501293525827,5.095846533597204,0.30747115572684613,boot.inf,0.810501293525827,-0.07100764009689675,-3.447629103718365,-3.447629103718365,-2.387404062349023,bad,500,NA,NA,NA,NA,NA,0.021813557664090776,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_06_r200.rds,10,200,0.1549844826006508,0.033390394573148505,0.7473541538544191,0.8424105179022953,0.12719052079610527,1.0203643422482036,1.5518024336184637,1.2203344691830724,1.532203393858661,1.0057453165998467,0.23266171498957583,0.15398137976974022,0.76257352962412706,0.7516479400805233,2.0364342248203604,0.5745316599846673,boot.inf,0.7516479400805233,-0.10774150594389764,-4.098817726120024,-4.098817726120024,-2.9345236435896664,bad,1000,NA,NA,NA,NA,NA,0.021813557664090776,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_08_r200.rds,10,200,0.22275861735932068,0.15353887423590565,0.7763580800699275,0.8071227077749473,0.03962685324566828,1.0165596958239798,1.476756516241892,1.1659698513470413,1.461679097269364,0.9865466975728491,0.18058963595287236,0.222388927596967,0.7892143337263744,0.7659135000269844,1.6559695823979759,-1.3453302427150926,boot.inf,0.7659135000269844,-0.05105693019289126,-1.9561658336483587,-1.9561658336483587,-1.1739909030042137,bad,1000,NA,NA,NA,NA,NA,0.021813557664090776,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_01_r200.rds,1,200,0.11209920306244224,0.012592372887772539,0.26286144532863603,0.40417751205950436,0.5376066716600123,1.2501568495656021,3.4571925988215573,2.395186740123293,3.251043283884515,1.050428692950151,0.19486518666137956,0.09134964656667831,0.32861803636430836,0.2761172044435467,25.015684956560214,5.0428692950150955,boot.inf,0.2761172044435467,-0.3168417435285321,-44.20380272750386,-44.20380272750386,-23.576386789574535,moderate,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_03_r200.rds,1,200,0.08762325753536421,0.08762325753536421,0.2137509690168139,0.2137509690168139,0,1.3696784374454596,4.276156695165899,2.980206371278115,4.051083333371351,1.4626898767141996,0.12517065245575681,0.1314191934834107,0.2927700932454025,0.3126513785187442,36.96784374454596,46.26898767141996,cv.bloss,0.2927700932454025,0.3696784374454596,24.05470877427638,16.484400872760407,24.05470877427638,moderate,500,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_05_r200.rds,1,200,0.13970460053969475,0.0287304230542814,0.30354616132092105,0.4979354245847199,0.6403944046529477,1.1484735441738314,3.0593628635876327,2.170298908699631,2.9851295646696476,1.0648371553865255,0.21017259314300418,0.11082039675091349,0.34861473571259977,0.3232272309494689,14.84735441738314,6.483715538652546,boot.inf,0.3232272309494689,-0.3508651624474364,-56.613256809535976,-56.613256809535976,-45.49022905168863,moderate,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,1,dimsnr_07_r200.rds,1,200,0.0981969801243287,0.0981969801243287,0.23381314425797384,0.23381314425797384,0,1.32740667261625,4.003295053263249,2.9051432270319855,3.919031719539027,1.51962674645078,0.1338017556562739,0.15170387474182273,0.3103651278334203,0.3553087076861717,32.74066726162499,51.962674645077996,cv.bloss,0.3103651278334203,0.3274066726162499,27.605285646917807,21.901332882124255,27.605285646917807,moderate,1000,NA,NA,NA,NA,NA,0.6904024767801857,0.05
dimsnr,SNR at high p x alpha x overlap,0.5,dimsnr_01_r200.rds,3,200,0.1174368910033819,0.012592372887772539,0.3004141369023121,0.4286389118666548,0.4268267009219959,1.1796153640858331,3.0571488388878905,2.132867181416093,2.8791970824254856,1.044568641296307,0.19486518666137956,0.09134964656667831,0.3543731314785522,0.313803186810251,17.961536408583314,4.456864129630711,boot.inf,0.313803186810251,-0.2679078400892545,-18.446460137112815,-18.446460137112815,-10.496836288008321,moderate,500,NA,NA,NA,NA,NA,0.19857524487978628,0.05
