"name","file_before","file_after","depth","verified","note"
"spec_grid","analysis/Analysis.R","R/plots.R",0,TRUE,""
"trunc_table","analysis/Analysis.R","R/plots.R",0,TRUE,""
"empty_registry","R/registry.R","R/registry.R",0,TRUE,""
"register_run","R/registry.R","R/registry.R",0,FALSE,"default argument changed to here::here(""registry.csv""); body unchanged"
"run_batch","R/registry.R","R/registry.R",0,FALSE,"default argument changed to here::here(""registry.csv""); body unchanged"
"make_seeds","R/simulate.R","R/simulate.R",0,TRUE,""
"run_rep","R/simulate.R","R/simulate.R",0,TRUE,""
"simulate_grid","R/simulate.R","R/simulate.R",0,TRUE,""
"as_diag","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"curve_stats","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"delta_ms","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"diag_wide","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"drop0","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"flatness_table","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"has","analysis/Analysis.R","R/summarise.R",3,TRUE,""
"is_diag","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"kkt_check","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"load_cv_curves","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"load_sim","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"loss_gap","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"pivot_q","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"r_at","analysis/Analysis.R","R/summarise.R",7,TRUE,""
"rep_cv","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"summarise_diag","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"summarise_sim","analysis/Analysis.R","R/summarise.R",0,TRUE,""
"panel_rmse","Exploring CV/functions..R","runs/cv/basic_dgp/make_cv_picks.R",0,TRUE,""
"fit","Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R",0,TRUE,""
"r2","Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_alpha_sweep_bad_overlap__alpha_bad.R","runs/cv/basic_dgp/run_alpha_sweep_bad_overlap__alpha_bad.R",0,TRUE,""
"bind","Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R",2,TRUE,""
"fit","Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R",3,TRUE,""
"gen_cell","Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R",0,TRUE,""
"title_of","Extension_CV/scripts/run_alpha_x_overlap_x_density_50reps__tunea.R","runs/cv/basic_dgp/run_alpha_x_overlap_x_density_50reps__tunea.R",0,TRUE,""
"fit","Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R","runs/cv/basic_dgp/run_bad_overlap_noise10_1000reps__tune4_19.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R","runs/cv/basic_dgp/run_bad_overlap_noise10_1000reps__tune4_19.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_bad_overlap_noise10_1000reps__tune4_19.R","runs/cv/basic_dgp/run_bad_overlap_noise10_1000reps__tune4_19.R",0,TRUE,""
"bind","Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R",2,TRUE,""
"fit","Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_confounder_spread_x_penalty__spread.R","runs/cv/basic_dgp/run_confounder_spread_x_penalty__spread.R",0,TRUE,""
"bind","Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R",2,TRUE,""
"fit","Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_high_p_x_alpha_x_overlap__dimhi.R","runs/cv/basic_dgp/run_high_p_x_alpha_x_overlap__dimhi.R",0,TRUE,""
"fit","Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R",0,TRUE,""
"r2","Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_n_x_overlap_enet__n_enet.R","runs/cv/basic_dgp/run_n_x_overlap_enet__n_enet.R",0,TRUE,""
"fit","Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R","runs/cv/basic_dgp/run_noise_axis_moderate_bad__snr_mb.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R","runs/cv/basic_dgp/run_noise_axis_moderate_bad__snr_mb.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_noise_axis_moderate_bad__snr_mb.R","runs/cv/basic_dgp/run_noise_axis_moderate_bad__snr_mb.R",0,TRUE,""
"bind","Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R",2,TRUE,""
"fit","Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R",3,TRUE,""
"one_rep","Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R",0,TRUE,""
"title_of","Extension_CV/scripts/run_noise_x_overlap_density_diluted__tune.R","runs/cv/basic_dgp/run_noise_x_overlap_density_diluted__tune.R",0,TRUE,""
"bind","Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R",2,TRUE,""
"fit","Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R",3,TRUE,""
"gen_cell","Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R",0,TRUE,""
"title_of","Extension_CV/scripts/run_noise_x_overlap_density_fixed__tune2.R","runs/cv/basic_dgp/run_noise_x_overlap_density_fixed__tune2.R",0,TRUE,""
"bind","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",2,TRUE,""
"fit","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",0,TRUE,""
"r2","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",0,TRUE,""
"title_of","Extension_CV/scripts/run_noise_x_overlap_enet__snr_enet.R","runs/cv/basic_dgp/run_noise_x_overlap_enet__snr_enet.R",0,TRUE,""
"bind","Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R",2,TRUE,""
"fit","Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R",3,TRUE,""
"gen_cell","Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R",0,TRUE,""
"rmse","Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R",0,TRUE,""
"title_of","Extension_CV/scripts/run_noise_x_overlap_lasso__tune4.R","runs/cv/basic_dgp/run_noise_x_overlap_lasso__tune4.R",0,TRUE,""
"fit","Extension_CV/scripts/run_overlap_axis__ov_s1.R","runs/cv/basic_dgp/run_overlap_axis__ov_s1.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_overlap_axis__ov_s1.R","runs/cv/basic_dgp/run_overlap_axis__ov_s1.R",0,TRUE,""
"one_rep","Extension_CV/scripts/run_overlap_axis__ov_s1.R","runs/cv/basic_dgp/run_overlap_axis__ov_s1.R",0,TRUE,""
"fit","Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R","runs/cv/basic_dgp/run_overlap_axis_1000reps__ov_1k.R",4,TRUE,""
"gen_cell","Extension_CV/scripts/run_overlap_axis_1000reps__ov_1k.R","runs/cv/basic_dgp/run_overlap_axis_1000reps__ov_1k.R",0,TRUE,""
